1

date,dogecoin: 
2014-01,78
2014-02,82
2014-03,43
2014-04,29
2014-05,32
2014-06,17
2014-07,12
2014-08,11
2014-09,13
2014-10,11
2014-11,10
2014-12,9
2015-01,9
2015-02,8
2015-03,7
2015-04,5
2015-05,5
2015-06,5
2015-07,5
2015-08,5
2015-09,4
2015-10,4
2015-11,5
2015-12,6
2016-01,6
2016-02,6
2016-03,5
2016-04,5
2016-05,5
2016-06,6
2016-07,4
2016-08,4
2016-09,4
2016-10,4
2016-11,4
2016-12,5
2017-01,6
2017-02,5
2017-03,7
2017-04,8
2017-05,20
2017-06,21
2017-07,16
2017-08,17
2017-09,18
2017-10,17
2017-11,26
2017-12,85
2018-01,100
2018-02,38
2018-03,24
2018-04,22
2018-05,17
2018-06,14
2018-07,21
2018-08,21
2018-09,38
2018-10,16
2018-11,16
2018-12,14
2019-01,12
2019-02,12
2019-03,10
2019-04,18
2019-05,15
2019-06,15
2019-07,16
2019-08,11
2019-09,10
2019-10,9
2019-11,9
